SYMBOL,NAME OF COMPANY
20MICRONS,20 Microns Ltd
21STCENMGM,21St Century Management Services Ltd
360ONE,360 One Wam Ltd
3IINFOLTD,3I Infotech Ltd
3MINDIA,3M India Ltd
3PLAND,3P Land Holdings Ltd
5PAISA,5Paisa Capital Ltd
63MOONS,63 Moons Technologies Ltd
A2ZINFRA,A2Z Infra Engineering Ltd
AAATECH,Aaa Technologies Ltd
AADHARHFC,Aadhar Housing Finance Ltd
AAKASH,Aakash Exploration Services Ltd
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Ltd
AARON,Aaron Industries Ltd
AARTECH,Aartech Solonics Ltd
AARTIDRUGS,Aarti Drugs Ltd
AARTIIND,Aarti Industries Ltd
AARTIPHARM,Aarti Pharmalabs Ltd
AARTISURF,Aarti Surfactants Ltd
AARVI,Aarvi Encon Ltd
AAVAS,Aavas Financiers Ltd
ABAN,Aban Offshore Ltd
ABB,Abb India Ltd
ABBOTINDIA,Abbott India Ltd
ABCAPITAL,Aditya Birla Capital Ltd
ABCOTS,A B Cotspin India Ltd
ABDL,Allied Blenders And Distillers Ltd
ABFRL,Aditya Birla Fashion And Retail Ltd
ABINFRA,A B Infrabuild Ltd
ABLBL,Aditya Birla Lifestyle Brands Ltd
ABMINTLLTD,Abm International Ltd
ABREL,Aditya Birla Real Estate Ltd
ABSLAMC,Aditya Birla Sun Life Amc Ltd
ACC,Acc Ltd
ACCELYA,Accelya Solutions India Ltd
ACCURACY,Accuracy Shipping Ltd
ACE,Action Construction Equipment Ltd
ACEINTEG,Ace Integrated Solutions Ltd
ACI,Archean Chemical Industries Ltd
ACL,Andhra Cements Ltd
ACMESOLAR,Acme Solar Holdings Ltd
ACUTAAS,Acutaas Chemicals Ltd
ADANIENSOL,Adani Energy Solutions Ltd
ADANIENT,Adani Enterprises Ltd
ADANIGREEN,Adani Green Energy Ltd
ADANIPORTS,Adani Ports And Special Economic Zone Ltd
ADANIPOWER,Adani Power Ltd
ADFFOODS,Adf Foods Ltd
ADL,Archidply Decor Ltd
ADOR,Ador Welding Ltd
ADROITINFO,Adroit Infotech Ltd
ADSL,Allied Digital Services Ltd
ADVAIT,Advait Energy Transitions Ltd
ADVANCE,Advance Agrolife Ltd
ADVANIHOTR,Advani Hotels & Resorts (India) Ltd
ADVENTHTL,Advent Hotels International Ltd
ADVENZYMES,Advanced Enzyme Technologies Ltd
AEGISLOG,Aegis Logistics Ltd
AEGISVOPAK,Aegis Vopak Terminals Ltd
AEQUS,Aequs Ltd
AEROENTER,Aeroflex Enterprises Ltd
AEROFLEX,Aeroflex Industries Ltd
AERONEU,Aeroflex Neu Ltd
AETHER,Aether Industries Ltd
AFCONS,Afcons Infrastructure Ltd
AFFLE,Affle 3I Ltd
AFFORDABLE,Affordable Robotic & Automation Ltd
AFIL,Akme Fintrade (India) Ltd
AFSL,Abans Financial Services Ltd
AGARIND,Agarwal Industrial Corporation Ltd
AGARWALEYE,Dr. Agarwal'S Health Care Ltd
AGI,Agi Greenpac Ltd
AGIIL,Agi Infra Ltd
AGRITECH,Agri-Tech (India) Ltd
AGROPHOS,Agro Phos India Ltd
AGSTRA,Ags Transact Technologies Ltd
AHCL,Anlon Healthcare Ltd
AHLADA,Ahlada Engineers Ltd
AHLEAST,Asian Hotels (East) Ltd
AHLUCONT,Ahluwalia Contracts (India) Ltd
AIAENG,Aia Engineering Ltd
AIIL,Authum Investment & Infrastructure Ltd
AIRAN,Airan Ltd
AIROLAM,Airo Lam Ltd
AJANTPHARM,Ajanta Pharma Ltd
AJAXENGG,Ajax Engineering Ltd
AJMERA,Ajmera Realty & Infra India Ltd
AJOONI,Ajooni Biotech Ltd
AKASH,Akash Infra-Projects Ltd
AKG,Akg Exim Ltd
AKI,Aki India Ltd
AKSHAR,Akshar Spintex Ltd
AKSHARCHEM,Aksharchem India Ltd
AKSHOPTFBR,Aksh Optifibre Ltd
AKUMS,Akums Drugs And Pharmaceuticals Ltd
AKZOINDIA,Akzo Nobel India Ltd
ALANKIT,Alankit Ltd
ALBERTDAVD,Albert David Ltd
ALEMBICLTD,Alembic Ltd
ALGOQUANT,Algoquant Fintech Ltd
ALICON,Alicon Castalloy Ltd
ALIVUS,Alivus Life Sciences Ltd
ALKALI,Alkali Metals Ltd
ALKEM,Alkem Laboratories Ltd
ALKYLAMINE,Alkyl Amines Chemicals Ltd
ALLCARGO,Allcargo Logistics Ltd
ALLDIGI,Alldigi Tech Ltd
ALLTIME,All Time Plastics Ltd
ALMONDZ,Almondz Global Securities Ltd
ALOKINDS,Alok Industries Ltd
ALPA,Alpa Laboratories Ltd
ALPHAGEO,Alphageo (India) Ltd
AMAGI,Amagi Media Labs Ltd
AMANTA,Amanta Healthcare Ltd
AMBER,Amber Enterprises India Ltd
AMBICAAGAR,Ambica Agarbathies & Aroma Industries Ltd
AMBIKCO,Ambika Cotton Mills Ltd
AMBUJACEM,Ambuja Cements Ltd
AMDIND,Amd Industries Ltd
AMJLAND,Amj Land Holdings Ltd
AMNPLST,Amines & Plasticizers Ltd
AMRUTANJAN,Amrutanjan Health Care Ltd
ANANDRATHI,Anand Rathi Wealth Ltd
ANANTRAJ,Anant Raj Ltd
ANDHRAPAP,Andhra Paper Ltd
ANDHRSUGAR,The Andhra Sugars Ltd
ANGELONE,Angel One Ltd
ANIKINDS,Anik Industries Ltd
ANKITMETAL,Ankit Metal & Power Ltd
