symbol,company_name
20MICRONS,20MICRONS
21STCENMGM,21STCENMGM
360ONE,360ONE
3IINFOLTD,3IINFOLTD
3MINDIA,3MINDIA
3PLAND,3PLAND
5PAISA,5PAISA
63MOONS,63MOONS
A2ZINFRA,A2ZINFRA
AADHARHFC,AADHARHFC
AAKASH,AAKASH
AAREYDRUGS,AAREYDRUGS
AARON,AARON
AARTECH,AARTECH
AARTIDRUGS,AARTIDRUGS
AARTIIND,AARTIIND
AARTIPHARM,AARTIPHARM
AARTISURF,AARTISURF
AARVI,AARVI
AAVAS,AAVAS
ABB,ABB
ABBOTINDIA,ABBOTINDIA
ABCAPITAL,ABCAPITAL
ABCOTS,ABCOTS
ABDL,ABDL
ABFRL,ABFRL
ABGSEC,ABGSEC
ABINFRA,ABINFRA
ABLBL,ABLBL
ABMINTLLTD,ABMINTLLTD
ABREL,ABREL
ABSLAMC,ABSLAMC
ABSLBANETF,ABSLBANETF
ABSLLIQUID,ABSLLIQUID
ABSLNN50ET,ABSLNN50ET
ABSLPSE,ABSLPSE
ACC,ACC
ACCELYA,ACCELYA
ACCURACY,ACCURACY
ACE,ACE
ACEINTEG,ACEINTEG
ACI,ACI
ACL,ACL
ACMESOLAR,ACMESOLAR
ACUTAAS,ACUTAAS
ADANIENSOL,ADANIENSOL
ADANIENT,ADANIENT
ADANIGREEN,ADANIGREEN
ADANIPORTS,ADANIPORTS
ADANIPOWER,ADANIPOWER
ADFFOODS,ADFFOODS
ADL,ADL
ADOR,ADOR
ADROITINFO,ADROITINFO
ADSL,ADSL
ADVAIT,ADVAIT
ADVANCE,ADVANCE
ADVANIHOTR,ADVANIHOTR
ADVENTHTL,ADVENTHTL
ADVENZYMES,ADVENZYMES
AEGISLOG,AEGISLOG
AEGISVOPAK,AEGISVOPAK
AEQUS,AEQUS
AEROENTER,AEROENTER
AEROFLEX,AEROFLEX
AERONEU,AERONEU
AETHER,AETHER
AFCONS,AFCONS
AFFLE,AFFLE
AFFORDABLE,AFFORDABLE
AFIL,AFIL
AFSL,AFSL
AGARIND,AGARIND
AGARWALEYE,AGARWALEYE
AGI,AGI
AGIIL,AGIIL
AGROPHOS,AGROPHOS
AHCL,AHCL
AHLADA,AHLADA
AHLEAST,AHLEAST
AHLUCONT,AHLUCONT
AIAENG,AIAENG
AIIL,AIIL
AIRAN,AIRAN
AIROLAM,AIROLAM
AJANTPHARM,AJANTPHARM
AJAXENGG,AJAXENGG
AJMERA,AJMERA
AJOONI,AJOONI
AKASH,AKASH
AKG,AKG
AKI,AKI
AKSHAR,AKSHAR
AKSHARCHEM,AKSHARCHEM
AKSHOPTFBR,AKSHOPTFBR
AKUMS,AKUMS
AKZOINDIA,AKZOINDIA
ALANKIT,ALANKIT
ALBERTDAVD,ALBERTDAVD
ALEMBICLTD,ALEMBICLTD
ALGOQUANT,ALGOQUANT
ALICON,ALICON
ALIVUS,ALIVUS
ALKALI,ALKALI
ALKEM,ALKEM
ALKYLAMINE,ALKYLAMINE
ALLCARGO,ALLCARGO
ALLDIGI,ALLDIGI
ALLTIME,ALLTIME
ALMONDZ,ALMONDZ
ALOKINDS,ALOKINDS
ALPA,ALPA
ALPHA,ALPHA
ALPHAETF,ALPHAETF
ALPHAGEO,ALPHAGEO
ALPL30IETF,ALPL30IETF
AMAGI,AMAGI
AMANTA,AMANTA
AMBER,AMBER
AMBICAAGAR,AMBICAAGAR
AMBIKCO,AMBIKCO
AMBUJACEM,AMBUJACEM
AMDIND,AMDIND
AMJLAND,AMJLAND
AMNPLST,AMNPLST
AMRUTANJAN,AMRUTANJAN
ANANDRATHI,ANANDRATHI
ANANTRAJ,ANANTRAJ
ANDHRAPAP,ANDHRAPAP
ANDHRSUGAR,ANDHRSUGAR
ANGELONE,ANGELONE
ANIKINDS,ANIKINDS
