Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
05 FEB 2026,20MICRONS,EQ,20 MICRONS LTD           ,Listed    ,05 FEB 2026,               5.00,          35286502,            168.35,     5940129746.70 
05 FEB 2026,21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,Listed    ,05 FEB 2026,              10.00,          10500000,             40.20,      422205000.00
05 FEB 2026,360ONE,EQ,360 ONE WAM LIMITED      ,Listed    ,05 FEB 2026,               1.00,         405057728,           1140.80,   462089856102.40    
05 FEB 2026,3IINFOLTD,EQ,3I INFOTECH LIMITED      ,Listed    ,05 FEB 2026,              10.00,         207396267,             15.30,     3177310810.45 
05 FEB 2026,3MINDIA,EQ,3M INDIA LIMITED         ,Listed    ,05 FEB 2026,              10.00,          11265070,          35450.00,   399346731500.00   
05 FEB 2026,3PLAND,EQ,3P LAND HOLDINGS LIMITED ,Listed    ,05 FEB 2026,               2.00,          18000000,             35.15,      632340000.00    
05 FEB 2026,5PAISA,EQ,5PAISA CAPITAL LIMITED   ,Listed    ,05 FEB 2026,              10.00,          31242338,            333.90,    10431816658.20    
05 FEB 2026,63MOONS,EQ,63 MOONS TECHNOLOGIES LTD,Listed    ,05 FEB 2026,               2.00,          46078537,            643.85,    29667666047.45   
05 FEB 2026,A2ZINFRA,EQ,A2Z INFRA ENGINEERING LTD,Listed    ,05 FEB 2026,              10.00,         176119858,             14.25,     2509707976.50  
05 FEB 2026,AAATECH,BE,AAA TECHNOLOGIES LIMITED ,Listed    ,05 FEB 2026,              10.00,          12826800,            101.00,     1295635068.00   
05 FEB 2026,AADHARHFC,EQ,AADHAR HOUSING FINANCE L ,Listed    ,05 FEB 2026,              10.00,         433796312,            472.55,   204990447235.60 
05 FEB 2026,AAKAAR,SM,AAKAAR MEDICAL TECHNO LTD,Listed    ,05 FEB 2026,              10.00,          14172816,             51.00,      722813616.00    
