exchange_token,trading_symbol,company_name
26000,NIFTY,NIFTY
26009,BANKNIFTY,BANKNIFTY
26037,FINNIFTY,FINNIFTY
26074,MIDCPNIFTY,MIDCPNIFTY
25624,GFL26-N0,GFL26-N0
759780,ENERGY-EQ,ENERGY-EQ
31967,863NHB34-N3,863NHB34-N3
20400,781MZ37-SG,781MZ37-SG
14052,GRCL-SM,GRCL-SM
29732,HDAIF1BDDR-MF,HDAIF1BDDR-MF
10331,781HR32A-SG,781HR32A-SG
5566,685WB31-SG,685WB31-SG
759795,77NVCL28-N0,77NVCL28-N0
15303,BANG-EQ,BANG-EQ
25866,925SCL26G-N0,925SCL26G-N0
757440,71TS55-SG,71TS55-SG
28996,718HR38-SG,718HR38-SG
20147,719AP34-SG,719AP34-SG
19631,PRICOLLTD-EQ,PRICOLLTD-EQ
10841,HDFC1406RD-MF,HDFC1406RD-MF
25782,814TPL27-N0,814TPL27-N0
2671,708GJ31-SG,708GJ31-SG
14763,NELCAST-BL,NELCAST-BL
22266,64KA31-SG,64KA31-SG
14214,IMC1-N0,IMC1-N0
8648,SFMP61GD-MF,SFMP61GD-MF
3744,FINEORG-EQ,FINEORG-EQ
9717,772JK32-SG,772JK32-SG
5957,BSLSENETFG-EQ,BSLSENETFG-EQ
757804,IGCL-BL,IGCL-BL
758874,773AIFL26-N0,773AIFL26-N0
14818,775HP32-SG,775HP32-SG
15073,BVCL-EQ,BVCL-EQ
27202,718WB39-SG,718WB39-SG
18630,SCLZC26-NB,SCLZC26-NB
22754,744AP39A-SG,744AP39A-SG
24732,RUBFILA-BL,RUBFILA-BL
11596,LINCOLN-EQ,LINCOLN-EQ
21140,629HP26-SG,629HP26-SG
10051,SFMP6DD-MF,SFMP6DD-MF
6315,662CG28-SG,662CG28-SG
760015,721SK35-SG,721SK35-SG
25134,GALAPREC-EQ,GALAPREC-EQ
29445,SUPREME-BL,SUPREME-BL
24861,METALIETF-EQ,METALIETF-EQ
