trading_symbol,exchange_token
SJVN-EQ,18883
PRIMESECU-EQ,11864
FLAIR-EQ,20372
DHUNINV-EQ,22233
TARACHAND-EQ,23512
INGERRAND-EQ,1597
EPACKPEB-EQ,759251
BANKBARODA-EQ,4668
WSTCSTPAPR-EQ,3799
GILLETTE-EQ,1576
INDOBORAX-EQ,8614
BEPL-EQ,419
MINDACORP-EQ,25897
CEMPRO-EQ,5622
SBIETFIT-EQ,740
GRPLTD-EQ,6543
FAZE3Q-EQ,12000
CHEVIOT-EQ,9879
AIROLAM-EQ,6068
BLISSGVS-EQ,19265
VIDHIING-EQ,13536
VALIANTLAB-EQ,19218
GEEKAYWIRE-EQ,17922
UNIMECH-EQ,28960
ITBETA-EQ,22488
GRINFRA-EQ,5054
JAGRAN-EQ,13211
MOMOMENTUM-EQ,8182
TCI-EQ,10580
ENDURANCE-EQ,18822
GUJAPOLLO-EQ,14677
VLEGOV-EQ,18012
ASTRON-EQ,874
DUCON-EQ,28952
ZEELEARN-EQ,20852
ABSLNN50ET-EQ,7339
JAYNECOIND-EQ,2331
NRL-EQ,13675
HITECHCORP-EQ,15161
TOP100CASE-EQ,24081
ACCELYA-EQ,7053
JUBLINGREA-EQ,2783
DCM-EQ,805
TOP10ADD-EQ,25171
ZENSARTECH-EQ,1076
ELGIEQUIP-EQ,937
PONNIERODE-EQ,10661
TVTODAY-EQ,11275
AHLEAST-EQ,19438
BALAMINES-EQ,14501
WABAG-EQ,20188
TMCV-EQ,759782
SHEMAROO-EQ,5068
SASTASUNDR-EQ,20063
STYL-EQ,759934
METALIETF-EQ,24861
MEESHO-EQ,760229
MOTILALOFS-EQ,14947
OSWALGREEN-EQ,471
TIIL-EQ,14223
TTML-EQ,8954
PARADEEP-EQ,9741
ASKAUTOLTD-EQ,20152
GATECHDVR-EQ,17
THANGAMAYL-EQ,18118
INNOVACAP-EQ,21062
SCILAL-EQ,23127
SHREERAMA-EQ,7627
SOLEX-EQ,759397
SINCLAIR-EQ,23480
CUMMINSIND-EQ,1901
AXISGOLD-EQ,20532
GULFPETRO-EQ,11581
NIFTYETF-EQ,6353
BCLIND-EQ,2513
HDFCNEXT50-EQ,10619
OLAELEC-EQ,24777
CROWN-EQ,8083
CEIGALL-EQ,24742
PANACHE-EQ,16292
LAMBODHARA-EQ,6407
NUVOCO-EQ,5426
DYNAMATECH-EQ,4525
SILVER1-EQ,13082
BLUEDART-EQ,495
ATL-EQ,17778
GULPOLY-EQ,6286
NLCINDIA-EQ,8585
RMDRIP-EQ,757834
EBBETF0430-EQ,16253
GODREJAGRO-EQ,144
INDIGOPNTS-EQ,2048
MIRZAINT-EQ,4394
OBCL-EQ,8797
GMRP&UI-EQ,8529
VADILALIND-EQ,24196
HCC-EQ,1375
SILVER-EQ,8003
CCL-EQ,11452
AKUMS-EQ,24715
MIDCAP-EQ,8077
DHRUV-EQ,6858
GODREJIND-EQ,10925
MOMENTUM30-EQ,759488
KFINTECH-EQ,13359
GRWRHITECH-EQ,7982
VGL-EQ,13771
JINDWORLD-EQ,20642
IKIO-EQ,16822
RBZJEWEL-EQ,20874
BETA-EQ,759842
POLYCAB-EQ,9590
LAOPALA-EQ,14423
RGL-EQ,15129
VRLLOG-EQ,8696
UTLSOLAR-EQ,759876
MIDCAPIETF-EQ,17152
COFFEEDAY-EQ,11165
IDFCFIRSTB-EQ,11184
GOLDBND-EQ,760325
AWL-EQ,8110
CCAVENUE-EQ,16249
PYRAMID-EQ,18250
ASHOKA-EQ,20182
DIVISLAB-EQ,10940
CIGNITITEC-EQ,5142
OSWALSEEDS-EQ,14305
ALPHAETF-EQ,19640
RUCHINFRA-EQ,4566
NIITMTS-EQ,17747
BROOKS-EQ,25136
PASHUPATI-EQ,757955
SUMMITSEC-EQ,21275
NEXT50IETF-EQ,4529
HGS-EQ,14712
SOTL-EQ,3021
PASUPTAC-EQ,6045
CIFL-EQ,756015
SHAILY-EQ,8727
TOUCHWOOD-EQ,16908
FILATEX-EQ,24532
FINPIPE-EQ,1041
AFFLE-EQ,11343
LXCHEM-EQ,2841
BSE500IETF-EQ,3001
RAIN-EQ,15337
CAMS-EQ,342
TPLPLASTEH-EQ,9219
TEAMGTY-EQ,10717
SANDESH-EQ,2988
PNCINFRA-EQ,9385
SKFINDIA-EQ,3186
KOKUYOCMLN-EQ,16827
INOXGREEN-EQ,12188
UEL-EQ,23507
FINCABLES-EQ,1038
BLS-EQ,17279
ALPA-EQ,14848
SREEL-EQ,31837
COFORGE-EQ,11543
MIDQ50ADD-EQ,7456
KOHINOOR-EQ,3009
SMALLADD-EQ,760359
IMPAL-EQ,12009
POWERGRID-EQ,14977
TECHNOE-EQ,6445
PRINCEPIPE-EQ,16045
STEELCITY-EQ,10406
GREAVESCOT-EQ,1235
VMART-EQ,29284
LIQUIDBETF-EQ,23915
FINOPB-EQ,6579
RPTECH-EQ,22670
BCG-EQ,8833
GPTHEALTH-EQ,22846
ABCOTS-EQ,759130
CONSOFINVT-EQ,11731
PLASTIBLEN-EQ,13920
DIAMONDYD-EQ,21840
SYSTMTXC-EQ,759355
SHILPAMED-EQ,17752
DBEIL-EQ,25892
CINELINE-EQ,27161
SIEMENS-EQ,3150
KAKATCEM-EQ,1811
LMW-EQ,1979
HLEGLAS-EQ,2289
NAHARSPING-EQ,14440
GENESYS-EQ,10905
HATHWAY-EQ,18154
EBGNG-EQ,757862
KSHITIJPOL-EQ,10407
ABSLBANETF-EQ,13987
CREDITACC-EQ,4421
GANDHITUBE-EQ,14116
BOHRAIND-EQ,11640
RADICO-EQ,10990
URBANCO-EQ,759084
RVTH-EQ,25157
MID150CASE-EQ,24077
SHIVAUM-EQ,759747
PEARLPOLY-EQ,2610
SNXT30BEES-EQ,757455
CONSUMIETF-EQ,6446
AUBANK-EQ,21238
EQUAL50-EQ,757142
MRPL-EQ,2283
SAHYADRI-EQ,14900
TBOTEK-EQ,23740
KMSUGAR-EQ,14667
SAILIFE-EQ,27839
ADVANCE-EQ,759402
UNIPARTS-EQ,13057
ABFRL-EQ,30108
PHARMABEES-EQ,4973
INFRAIETF-EQ,10723
EPIGRAL-EQ,5382
TEGA-EQ,7105
SHALPAINTS-EQ,15342
SPECIALITY-EQ,27107
VAIBHAVGBL-EQ,11364
RICOAUTO-EQ,2909
PROTEAN-EQ,29472
RELIANCE-EQ,2885
LALPATHLAB-EQ,11654
LEMERITE-EQ,760300
ZYDUSWELL-EQ,17635
KSOLVES-EQ,11060
HINDUNILVR-EQ,1394
KEI-EQ,13310
BANKADD-EQ,13644
ARENTERP-EQ,181
TIGERLOGS-EQ,759176
CPCAP-EQ,20086
RATEGAIN-EQ,7177
ZOTA-EQ,11394
SUNFLAG-EQ,3348
AXISBPSETF-EQ,3530
MON50EQUAL-EQ,756900
SHAHALLOYS-EQ,11856
SELECTIPO-EQ,30109
MAHSEAMLES-EQ,2088
SESHAPAPER-EQ,3066
FIBERWEB-EQ,8159
MONIFTY100-EQ,759371
VENKEYS-EQ,3757
GENUSPOWER-EQ,11905
VIDYAWIRES-EQ,760224
IMAGICAA-EQ,7672
REPL-EQ,1480
VINNY-EQ,12490
NAZARA-EQ,2987
MOMENTUM50-EQ,25606
AONEGOLD-EQ,758904
ADANIENT-EQ,25
CARBORUNIV-EQ,595
GPPL-EQ,19731
BANG-EQ,15303
FCL-EQ,6198
AMNPLST-EQ,19867
HDFCNIFIT-EQ,12101
WENDT-EQ,4235
KOTAKBANK-EQ,1922
NIRAJISPAT-EQ,18840
UNIVCABLES-EQ,3607
REGAAL-EQ,758680
BSE-EQ,19585
GOLDCASE-EQ,22901
APTUS-EQ,5435
ADSL-EQ,14813
HEXT-EQ,29666
UDS-EQ,19113
UNIVASTU-EQ,18977
GRINDWELL-EQ,13560
JTLIND-EQ,7287
AHLUCONT-EQ,17833
GLAND-EQ,1186
EVIETF-EQ,755881
PVRINOX-EQ,13147
PAYTM-EQ,6705
BOROLTD-EQ,19401
